Name,Image,Target Muscles,Equipment,Other Names
بارفیکس خوابیده,https://liftmanual.com/wp-content/uploads/2023/04/inverted-row.jpg,ذوزنقه‌ای,دستگاه,Inverted Row
زیربغل سیمکش دسته وی,,ذوزنقه‌ای,دستگاه,
پشت بازو دمبل تک خوابیده,,پشت بازو,دمبل,
زیربغل سیمکش دست باز,,زیربغل / لت,دستگاه,
پرس پا دستگاه,,همسترینگ,,
نشر جلو دمبل,https://liftmanual.com/wp-content/uploads/2023/04/dumbbell-seated-front-raise.jpg,سرشانه,دمبل,Dumbbell Front Raise
نشر جلو صفحه,,سرشانه,,Plate Front Raise
Dumbbell Wrist Curl,,ساعد,دمبل,
قایقی,,ذوزنقه‌ای,دستگاه,
جلوبازو سیمکش طنابی,,جلو بازو,دستگاه,
دستگاه اچ,,"ذوزنقه‌ای, زیربغل / لت",,
ساق پا دستگاه,,ساق,دستگاه,
زیربغل خم دمبل جفت,,"ذوزنقه‌ای, زیربغل / لت",دمبل,
پول اور طنابی,,زیربغل / لت,دستگاه,
جلوبازو دمبل داخل,,جلو بازو,دمبل,
فلای بک,,سرشانه,,
جلوبازو هالتر,,جلو بازو,هالتر,
" جلوبازو سیمکش دسته صاف",,جلو بازو,دستگاه,
زیربغل سیمکش دسته موازی,,زیربغل / لت,دستگاه,
پرس بالا سینه دمبل,,بالا سینه,دمبل,
فیس پول طنابی,,"ذوزنقه‌ای, سرشانه",دستگاه,
جلوبازو تمرکزی,,جلو بازو,دمبل,
بارفیکس کمکی,,زیربغل / لت,دستگاه,
پرس سر شانه دمبل نشسته,,سرشانه,دمبل,
طناب,,ساق,وزن بدن,
اسکات پرشی,,باسن,,
اسکات با دیوار,,جلو ران,وزن بدن,
پشت بازو دمبل خوابیده (روبه داخل),,پشت بازو,دمبل,
نشر جانب دمبل نشسته,,سرشانه,دمبل,
کول هالتر,,"سرشانه, کول",هالتر,
فلای سیمکش خوابیده,,سینه,دستگاه,
پشت پا دستگاه خوابیده,,همسترینگ,دستگاه,
نشر جلو هالتر میز شیب‌دار,https://www.lyfta.app/_next/image?url=%2Fthumbnails%2F37221201.jpg&w=3840&q=75,سرشانه,هالتر,Barbell Incline Lying Rear Delt Raise
دوچرخه ثابت,,"باسن, ساق",دستگاه,
سر شونه دستگاه,,سرشانه,دستگاه,
پشت پا دستگاه نشسته,,جلو ران,دستگاه,
سرشونه سیمکش چرخش داخلی,,سرشانه,دستگاه,
لانگ بلغاری,,"باسن, جلو ران",,
نشر جلو هالتر,,سرشانه,دمبل,
پشت بازو بالاسر طنابی,,پشت بازو,دستگاه,
خیاطه داخل ران,,داخل ران,دستگاه,
زیربغل سیمکش تک دست,,زیربغل / لت,دستگاه,
هاگ پا دستگاه,,جلو ران,,
نشر جانب سیمکش,,سرشانه,دستگاه,
دد باگ,,شکم,وزن بدن,Dead Bug
پرس سینه هالتر,,,هالتر,
ساعد هالتر,,ساعد,هالتر,
پول‌اور دستگاه,,زیربغل / لت,دستگاه,
نشر خم دمبل خوابیده,,سرشانه,دمبل,
فلای سیمکش میز شیبدار,,بالا سینه,دستگاه,
فلای بک سیمکش,,سرشانه,دستگاه,
زیربغل دستگاه قیچی,,زیربغل / لت,دستگاه,
دیپ پارالل,,"سینه, پشت بازو",دستگاه,
بارفیکس دست باز,,زیربغل / لت,دستگاه,پول آپ
جلوبازی فیگوری سیمکش,,جلو بازو,دستگاه,
جلو پا دستگاه,,جلو ران,دستگاه,
پرس سینه اسمیت,,سینه,دستگاه,
سرشونه دمبل سه گانه,,سرشانه,دمبل,
کرانچ لمس پاشنه,,پهلو,وزن بدن,
شنا دست جمع,,,وزن بدن,
بالا سینه هالتر,,,هالتر,
بالا سینه دمبل,,بالا سینه,دمبل,
زیر شکم پارالل,,شکم,دستگاه,
اسکات با اسمیت,,"باسن, جلو ران",دمبل,
پرس سینه دمبل,,سینه,دمبل,
پلانک بالا پایین,,شکم,وزن بدن,
کرانچ,,شکم,وزن بدن,
کراس اور از پایین,,بالا سینه,دستگاه,
کراس اور از بالا,,زیرسینه,دستگاه,
لانگ بلغاری با اسمیت,,"باسن, جلو ران",,
فلای سینه دستگاه,,سینه,دستگاه,
زیرشکم روی نیمکت,,شکم,وزن بدن,
کراس اور متقاطع,,سینه,دستگاه,
پشت بازو سیمکش طنابی,,پشت بازو,دستگاه,
لانگ جلو دمبل,,جلو ران,دمبل,
کرانچ دوچرخه,,پهلو,وزن بدن,
پرس سینه دمبل چسبیده,,سینه,دمبل,
شنا سوئدی,,سینه,وزن بدن,
دیپ نیمکت,,پشت بازو,وزن بدن,
پلانک چرخشی,,,وزن بدن,
کوهنوردی,,شکم,وزن بدن,
جلو بازو دمبل,,جلو بازو,دمبل,
کرانچ معکوس (قیچی),,شکم,وزن بدن,
قفسه سینه دمبل,,سینه,دمبل,
پلانک لمس شانه,,شکم,وزن بدن,
پلانک,,شکم,وزن بدن,
سگ پرنده,,"باسن, شکم, همسترینگ",وزن بدن,